"K1","K2","K3","sp1","sp2","sp3","surv_sp"
0.839565487508497,0.531600056600075,0.111942717527386,1,1,1,"1_2"
0.152599743014094,0.685439274558894,0.711959492755178,1,1,1,"2_3"
0.933225364762204,0.214799668506836,0.288013056950211,1,1,1,"1_3"
0.892028308745025,0.449702167062719,0.0453150895021106,1,1,1,"1_2"
0.711359099627576,0.700314870162248,0.0593911946897769,1,1,1,"1_2"
0.918766869339213,0.00168020457970924,0.394796930987555,1,1,1,"1_3"
0.251034617541986,0.828234878767115,0.501007591149247,1,1,1,"2_3"
0.232268732065099,0.734420284514088,0.637713165772134,1,1,1,"2_3"
3.44392379044127e-05,0.614964432608403,0.788554846184185,1,1,1,"2_3"
0.672554560530102,0.0719194376717147,0.736544606656749,1,1,1,"1_3"
0.977726548701927,0.109213493345948,0.179229486509875,1,1,1,"1_3"
0.893693751841258,0.447697093986205,0.0296443916483937,1,1,1,"1_2"
0.322953847486886,0.868807354801813,0.375332642646085,1,1,1,"1_2_3"
0.323841088920402,0.520980768785756,0.789750585743531,1,1,1,"1_2_3"
0.0209573557839608,0.798955654625552,0.601024667697092,1,1,1,"2_3"
0.202449069795915,0.34612219491359,0.916086131500181,1,1,1,"3"
0.00807002933129489,0.83203717410346,0.554661171830624,1,1,1,"2_3"
0.764413116797041,0.104198848281334,0.636250883602905,1,1,1,"1_3"
0.229361721389413,0.509772052285371,0.82917166827506,1,1,1,"2_3"
0.795301895652722,0.551157602799493,0.252428587223205,1,1,1,"1_2_3"
0.0914393641923257,0.964567961970966,0.247482301216229,1,1,1,"2"
0.325667769836632,0.679291773312741,0.657649747509467,1,1,1,"1_2_3"
0.510444869805158,0.0889972130747037,0.855292658073558,1,1,1,"1_3"
0.799415315338734,0.600726825291795,0.00790158064657278,1,1,1,"1_2"
0.214160872576963,0.825938723188372,0.521498174680445,1,1,1,"2_3"
0.210988212498295,0.199964596011146,0.956816667146258,1,1,1,"3"
0.572618912790984,0.452863364115895,0.683390338061423,1,1,1,"1_3"
0.969752350842597,0.124646018380163,0.209866024256499,1,1,1,"1_3"
0.15493676879927,0.793662994034805,0.588297245934189,1,1,1,"2_3"
0.83622420764704,0.310972710980834,0.451691318900764,1,1,1,"1_3"
0.671140159353776,0.0476288449002479,0.73979887782833,1,1,1,"1_3"
0.139496940630982,0.489536951616554,0.860752099362277,1,1,1,"2_3"
0.71402303115431,0.596819157742481,0.36603005878311,1,1,1,"1_2_3"
0.843276053160293,0.51661423186876,0.148307901330473,1,1,1,"1_2_3"
0.507436581267765,0.860485529644395,0.0455276758015203,1,1,1,"1_2"
0.166849331354715,0.983184798026716,0.074222325183536,1,1,1,"2"
0.088147854743099,0.985521825425852,0.144833308715525,1,1,1,"2"
0.926375624074184,0.278336490507624,0.253686817105392,1,1,1,"1_3"
0.412945619566308,0.845311235675943,0.339005649098963,1,1,1,"1_2_3"
0.293673895611411,0.870243001900394,0.395515815966706,1,1,1,"1_2_3"
0.457628092592589,0.868854086370136,0.188862662980231,1,1,1,"1_2"
0.59250731520197,0.751036321201478,0.291340909705972,1,1,1,"1_2_3"
0.188379972363199,0.273434829386251,0.94326368534517,1,1,1,"3"
0.0233778923612898,0.250804330094108,0.967755476427176,1,1,1,"3"
0.41338984161374,0.565800566330479,0.713427331962181,1,1,1,"1_2_3"
0.450992699262929,0.498579016466638,0.740286802226473,1,1,1,"1_2_3"
0.822144523182981,0.0216011443819741,0.568868854448561,1,1,1,"1_3"
0.662856436230362,0.747998011526051,0.0334711771686871,1,1,1,"1_2"
0.674575988978779,0.106952604947967,0.73041657661101,1,1,1,"1_3"
0.813202570297741,0.58082714165194,0.0366252806348977,1,1,1,"1_2"
0.729818676819355,0.274890781323034,0.625939100319878,1,1,1,"1_3"
0.456257024302172,0.180633941333406,0.87132135691333,1,1,1,"1_3"
0.0402697985462989,0.794088779418981,0.606466284080091,1,1,1,"2_3"
0.0704808803959603,0.997258914924036,0.0225189276641644,1,1,1,"2"
0.961518627601572,0.0767596772430932,0.263798939961336,1,1,1,"1_3"
0.300719178345505,0.276319923457825,0.912806264042631,1,1,1,"1_3"
0.245401301967135,0.648293327237544,0.720759296056673,1,1,1,"2_3"
0.544443860812766,0.372500877029553,0.75154772239393,1,1,1,"1_3"
0.6663687119735,0.743864052500445,0.0511762747803541,1,1,1,"1_2"
0.133061362232611,0.940417521760242,0.312905031354767,1,1,1,"2"
