"comm","param","Omega_pool","omega_pool","comp_strength_pool"
70,"1",2.53372678429933e-07,0.46793764938961,0.02703585951726
71,"1",9.25816030614331e-07,0.499259382010216,-0.0239356735530196
72,"1",1.07730483117617e-06,0.50305669167466,-0.0356804962695243
73,"1",1.08967546457978e-06,0.503343956593705,-0.0315595554354939
74,"1",1.54796166013745e-06,0.512257127670408,-0.057664945011513
75,"1",1.11237319205325e-07,0.449068430967196,0.071876796704564
76,"1",2.75848723985173e-07,0.469930409022832,0.0204669476107913
77,"1",5.54392568518771e-07,0.486621025928009,-0.00970865808200117
78,"1",1.7637830260568e-07,0.459538876302252,0.0472827878911389
79,"1",3.52458192945658e-07,0.475724349032173,-0.00376412408737415
80,"1",1.98930836605201e-07,0.462311935176988,0.0245042462743002
81,"1",3.61135119968275e-07,0.476303185705183,0.0258843814132218
82,"1",2.14102555420532e-07,0.464014009052063,0.0140529633305656
83,"1",3.97513013054889e-07,0.478594350256412,0.0161610342270343
84,"1",2.8748870113956e-06,0.528361347416358,-0.0721453505460102
85,"1",1.62401316091286e-07,0.45764579599574,0.0753013269510414
86,"1",1.82678589668822e-07,0.460346009152889,0.0414252972639572
87,"1",1.25244153744494e-07,0.451739298517882,0.0450863188092266
88,"1",1.02691711676254e-06,0.501853283112147,-0.0272013299238415
89,"1",6.41680074031367e-07,0.490191670917019,-0.00865488327931424
90,"1",1.06613202862115e-06,0.502794536093847,-0.052706810694633
91,"1",2.40364008361556e-07,0.466706094194373,0.00880039623902833
92,"1",1.63248702502323e-07,0.457764897528728,0.045173720408969
93,"1",1.1171979396163e-07,0.449165619149053,0.0815993504688849
94,"1",8.02742598277493e-07,0.495711296007335,-0.00814453038658568
95,"1",6.09384225045174e-07,0.488927607280071,0.00139424571371611
96,"1",8.39702221294754e-07,0.496828230489335,-0.0146399967604285
97,"1",3.62179296053001e-06,0.534498118792108,-0.0992653404433913
98,"1",4.22158808750194e-06,0.538609231560228,-0.0909836804684932
99,"1",2.85684561744189e-07,0.470754346528503,0.0287233961604903
100,"1",6.43203030001486e-07,0.490249776197104,0.0231138247607952
101,"1",1.34606320460759e-06,0.508690084836328,-0.048877021062172
102,"1",6.83921002618325e-08,0.438278631618851,0.0849904848880348
103,"1",4.1521609225997e-07,0.479638138554919,-0.000290163037345391
104,"1",1.99634358475517e-06,0.518814092681585,-0.0564653480146543
105,"1",3.07380920995723e-07,0.472480452310898,0.00772761225927019
106,"1",1.48474961094134e-07,0.455598893875188,0.0577784240931094
107,"1",1.58351607507231e-06,0.512839093467435,-0.0348500806125645
108,"1",9.69529957272717e-07,0.50041239868351,-0.0130844290154013
109,"1",3.77991802964442e-07,0.477390881143346,0.0129150528474234
110,"1",8.55685566057172e-07,0.497296852289185,-0.0297079815956037
111,"1",3.25270223388918e-07,0.473818720246789,0.00504501538488719
112,"1",1.34202364701144e-06,0.508613646456024,-0.0295662386215398
113,"1",5.64851309946158e-08,0.434106918130278,0.0895426836818966
114,"1",2.02402489744997e-06,0.519171438719849,-0.0539486109779574
115,"1",3.5093866591982e-07,0.475621590675264,0.00557835200597014
116,"1",7.75230969275383e-07,0.494847699587901,-0.00850609654862589
117,"1",1.40038554110679e-06,0.509697356192261,-0.0688270937797647
118,"1",3.92148016696568e-07,0.478269296304304,0.00408325115177976
119,"1",4.32255212493055e-07,0.480603591540037,-0.00374522903301947
120,"1",1.36766231615766e-07,0.453731513714921,0.0347101672956691
121,"1",1.18613358411852e-07,0.450512328464142,0.0796161001512676
122,"1",7.61141905700106e-07,0.494394102658246,-0.00334308530507205
123,"1",8.00669989891306e-06,0.556125331386685,-0.115454291750751
124,"1",1.49306181327625e-06,0.511333079616369,-0.0544931813647289
125,"1",6.18740418131942e-08,0.43608929345436,0.0870397760906139
126,"1",3.55912914494061e-07,0.475956417930826,0.0290019455715729
127,"1",5.94145622722701e-07,0.488308905861651,-0.0166490545411035
128,"1",3.65044202308425e-07,0.476559655083934,0.0297994004559862
129,"1",1.48030641082647e-07,0.455530626466707,0.0486271466727227
130,"1",5.2614265641603e-08,0.432568783957731,0.111403150577064
131,"1",2.27887637400421e-07,0.465463936724337,0.02454763551849
