"stage","plot","year","n_sp_real","n_sp_pot","Omega_pool","omega_pool","Omega_real","omega_real","Omega_percentile","omega_percentile","Omega_mean","omega_mean","comp_strength_real","comp_strength_mean"
"middle","4","2011",30,42,9.08060515085371e-10,0.60913985957384,1.23683761836865e-05,0.686136342029709,0.992,0.992,1.67052402036018e-06,0.633331303903659,0.018482571068778,0.0219766391283343
"middle","4","2012",11,14,0.00483695546896999,0.683301370955927,0.049319420236478,0.760647515645615,0.824,0.824,0.032861448843237,0.725834848659707,0.0339393939393939,0.0399081818181818
"middle","4","2013",12,15,0.00222226091609965,0.665456497533099,0.0331613533951961,0.752868893955059,1,1,0.0117336322595592,0.68619136736066,0.0330808080808081,0.0500751325694508
"middle","4","2014",20,35,2.70859458461263e-08,0.607844772204486,0.000596365205535013,0.689883272577143,0.782,0.782,0.000473574197869217,0.65812073461843,0.0253863826232247,0.031279725594009
"middle","4","2016",13,14,0.00359966707115903,0.669032645412441,0.00671540225410456,0.680536925590836,0.788,0.788,0.00685908065845036,0.677255168435732,0.0464324811490803,0.0481042514991512
"middle","4","2017",31,52,3.14653197231157e-13,0.574875360829114,9.96913048430183e-08,0.59449777679276,0.327,0.327,3.6270543395319e-07,0.607571236310187,0.0221710992243952,0.0247023596416076
"late","7","2007",27,37,6.57560171848036e-08,0.639573040094893,6.34988799518909e-05,0.699112216665867,0.901,0.901,2.93276811872161e-05,0.67041627776929,0.0191239316239316,0.0216787821961806
"late","7","2008",58,93,1.27069569940729e-22,0.581513212409119,7.29017098017779e-13,0.617642051969649,0.755,0.755,6.49117547077521e-13,0.604451800669163,0.0128211472060445,0.0135669529642577
"late","7","2009",44,66,9.30775135854207e-16,0.591909382096124,2.32524121262792e-09,0.636477951839668,0.934,0.934,9.42443671000092e-10,0.618106985585815,0.0160918883750556,0.0170602616713786
"late","7","2010",33,59,3.98341725140753e-15,0.57008096345754,7.77314266029906e-08,0.60892462101077,0.56,0.56,1.7151516882044e-07,0.608773909548899,0.0217572686322686,0.0231625701909675
"late","7","2011",32,46,4.60013665434251e-12,0.566941820850657,1.25927278865248e-07,0.608665581707438,0.756,0.756,7.96054951992489e-08,0.587632077721927,0.0247017064383319,0.0253999856317564
"late","7","2012",11,15,0.00211318325692631,0.663227426611537,0.0262590914963259,0.718287244523903,0.862,0.862,0.0183103524344047,0.689725783887407,0.0491253443526171,0.0560610591681046
"late","7","2013",32,40,6.71676778043164e-09,0.624710791725241,6.60656697436463e-07,0.641023933894013,0.706,0.706,6.14931230099717e-07,0.635614964039128,0.0228965706047063,0.0230773151912336
"late","7","2014",20,31,4.83885697597622e-07,0.625578803864104,0.000223471208428963,0.656842248157447,0.605,0.605,0.000215659240677595,0.650947569726769,0.0339505012531328,0.0348190123080589
"late","7","2016",7,10,0.0144304356304604,0.65452756935704,0.115529732073407,0.734681509186908,1,1,0.0637321539237992,0.671718084009038,0.0825396825396825,0.106789154892726
"late","7","2017",25,37,1.00239900263397e-09,0.571195637392909,4.66063400753309e-06,0.611980804205815,0.693,0.693,7.26325220501224e-06,0.600798226160235,0.0286921130891719,0.0294677484638122
"late","8","2007",22,33,7.02127558537285e-07,0.650920213425885,0.000601801866902161,0.713857495751706,0.945,0.945,0.000260368687306298,0.680805286834908,0.0211399711399711,0.026949580121658
"late","8","2008",42,66,1.40384207407013e-14,0.616752448972406,2.40261850074435e-08,0.658548452772806,0.85,0.85,1.36134352209463e-08,0.64165010401185,0.0139762409028652,0.0161738767824171
"late","8","2009",28,46,1.4617413404939e-11,0.581371458769668,2.31263192971559e-06,0.629097689159815,0.803,0.803,2.26374086195427e-06,0.615084611603542,0.0220742000503905,0.0250754034557115
"late","8","2010",22,36,5.80124163470812e-09,0.590485062065303,0.000458114310168506,0.705060012675392,1,1,5.8107841329781e-05,0.625930245947324,0.0232065553494125,0.0325154015141936
"late","8","2011",30,44,3.03410676556362e-10,0.607690601343981,2.46005039463471e-05,0.702044756713116,1,1,1.28823831769362e-06,0.629348746755202,0.0177627257799672,0.0238623728195199
"late","8","2012",9,11,0.117127709416587,0.822872778175886,0.401755020304369,0.903640529491625,0.949,0.949,0.215382689306074,0.836433952075503,0.0161375661375661,0.0315837336660253
"late","8","2013",21,28,4.20207149534237e-06,0.64265935977975,0.000916098421943844,0.716688734387117,0.896,0.896,0.000347926538459859,0.667640483756002,0.0217361111111111,0.0282764907966925
"late","8","2014",11,22,2.87954320357886e-05,0.621735432152698,0.022629727718976,0.708639560360476,0.952,0.952,0.0119360322037758,0.662993169062391,0.0467365967365967,0.0606748873269463
"middle","5","2007",13,24,6.44345282361654e-05,0.668928876166409,0.0485685103858419,0.792410767053612,0.99,0.99,0.0124361085719018,0.703366648024239,0.0245726495726496,0.0438141414141414
"middle","5","2008",24,38,7.75328425808681e-08,0.649951877772414,0.000221954482213791,0.70430536506533,0.872,0.872,0.000127436329023953,0.676541789824444,0.0224339669991844,0.0248477463362334
"middle","5","2009",30,44,6.72278643371712e-11,0.587229600530946,9.57149493343113e-07,0.630036909433619,0.71,0.71,1.0840209303697e-06,0.619542275500783,0.021435222504188,0.023343905118615
"middle","5","2010",24,38,1.35638881954661e-08,0.620808248997558,6.00105939194645e-05,0.666949314027784,0.982,0.982,2.15805169829422e-05,0.635593299902322,0.0270581723027375,0.0289907989891761
"middle","5","2011",18,27,2.58685406711923e-06,0.620962861949798,0.00101407984193996,0.68182147361714,0.897,0.897,0.000545404668471831,0.649421215373819,0.0341640567130763,0.0364310656788715
"middle","5","2012",12,17,0.00047565090363574,0.637597157326069,0.0211200859667386,0.725088983488177,0.903,0.903,0.0119505321238681,0.683378658858492,0.0427192088956795,0.0489510691893635
"middle","5","2013",12,16,0.00267262568391694,0.690531721027541,0.02958091104755,0.74573460317559,0.862,0.862,0.0194923984145481,0.7131964649333,0.0379017447199265,0.0446128640088867
"middle","5","2014",15,20,2.07150166580299e-05,0.58319563439901,0.000485568453831,0.601289145848853,0.381,0.381,0.00124783115317439,0.62145369917015,0.0443990929705215,0.0430825147209219
"middle","5","2016",5,10,0.007944890359554,0.616607482873748,0.127859031528043,0.662744728629546,0.665,0.665,0.121242846117748,0.654704182091111,0.15,0.153136031746032
"middle","5","2017",17,36,1.02975007238585e-08,0.599972631228426,0.00151587761408118,0.682584958799406,0.687,0.687,0.00180592700006362,0.669050554537768,0.03223321062171,0.0337637560993058
"initial","2","2007",25,27,5.11033816989707e-06,0.63681993975431,1.56256273474729e-05,0.642323037274677,0.368,0.368,1.62618466439834e-05,0.642355268473218,0.0280275613275613,0.0284221980530868
"initial","2","2008",44,57,3.75825911261389e-12,0.630320120522045,9.99329156162045e-09,0.657923190221336,0.963,0.963,3.88414563936024e-09,0.641254325312053,0.0157994514674343,0.01649109363083
"initial","2","2009",27,38,6.59317161619923e-09,0.609134236809631,6.11751106308924e-06,0.641076971211266,0.745,0.745,5.78221564244904e-06,0.63102282042394,0.0267158648568905,0.0269837102007208
"initial","2","2010",34,49,3.45090125226913e-10,0.641056904756871,1.01627216248697e-06,0.666400921753087,0.823,0.823,6.51273987446743e-07,0.653507867506284,0.0186302803949863,0.020702770758768
"initial","2","2011",16,23,1.72294729820704e-05,0.620699493531095,0.00143102404218213,0.664091517728357,0.846,0.846,0.00107981302798559,0.65022258066009,0.0392857142857143,0.0424482578152412
"initial","2","2012",18,21,0.000192812581704938,0.66542893929486,0.00138447071663207,0.693717151104267,0.848,0.848,0.00101763701427674,0.678391528325855,0.0294221392260608,0.0327825670879592
"initial","2","2013",18,20,5.64133194691176e-05,0.613153318037711,0.000168707495717999,0.61715798779311,0.506,0.506,0.000171092671985001,0.617497110598779,0.0422951231774761,0.0430665954403337
"initial","2","2014",24,28,9.80331494522856e-07,0.610107237579039,6.50155563520717e-06,0.607960999246139,0.016,0.016,1.75805497611099e-05,0.627115576059318,0.0286490683229814,0.0294321543046712
"initial","2","2016",14,16,0.000248831506053443,0.595311244136156,0.000818214249567672,0.601853101311813,0.878,0.878,0.00077323759002014,0.5993768847882,0.0653705562172381,0.0643917035801722
"initial","2","2017",27,32,9.00527962252065e-08,0.602321044954581,2.08895721102353e-06,0.616065686407396,0.741,0.741,1.89648376511638e-06,0.611892039505354,0.0269779063529064,0.028515051633293
"middle","6","2007",17,25,7.91722924076167e-06,0.625090543419301,0.000762323750581169,0.655535836210312,0.764,0.764,0.000637717767171445,0.645728870869149,0.0420751633986928,0.0441322129208776
"middle","6","2008",30,37,4.77643015531894e-08,0.634071058285469,7.83568836623398e-06,0.675775701211889,0.92,0.92,2.50116496178323e-06,0.641650382787123,0.0192752234993614,0.0219376500952645
"middle","6","2009",19,30,6.39133847431676e-07,0.621612483039705,0.000480033961809696,0.66885211296298,0.803,0.803,0.00034681997590485,0.650940592638072,0.0335317014045084,0.0363253620676815
"middle","6","2010",15,20,8.16640956595274e-05,0.624599393025254,0.00181919715106195,0.656636950447887,0.88,0.88,0.00139540990807063,0.642606036174145,0.0471957671957672,0.0497064967439967
"middle","6","2011",19,24,8.30985098119469e-06,0.614209295518621,0.000134530123957493,0.625537946561092,0.228,0.228,0.000197074162475383,0.635918110148863,0.0375278027690308,0.0373224333482114
"middle","6","2012",10,14,0.00135619361370808,0.623973054117572,0.0142081179886247,0.653512133698858,0.809,0.809,0.0127090166420856,0.642560910925513,0.0762240537240537,0.0746851814244216
"middle","6","2013",7,9,0.0201444170780555,0.647996626564146,0.0699774346608474,0.683902202675072,1,1,0.0547490658586079,0.6585173850332,0.0912698412698413,0.102789795918367
"middle","6","2014",16,20,6.42282184697751e-05,0.61714369127913,0.000625996178955359,0.630646122948948,0.836,0.836,0.000551016959862742,0.624130225184579,0.0543866459627329,0.0532734407895976
"middle","6","2016",16,20,5.7829080985572e-05,0.613913685008681,0.000572637374902319,0.627144301781115,0.857,0.857,0.000492730983222358,0.620048102730209,0.0519421550671551,0.052102818067742
"middle","6","2017",30,39,1.26039401869836e-09,0.591299966924253,3.60205540166431e-07,0.609843425593661,0.855,0.855,2.84408259487326e-07,0.601584973922697,0.0292524509438026,0.0280906932244133
